,,w,u,total_demand,served,un_served_demand,denied,los
33.0,164,10.0,0.0,52.0,47.0,5.0,0.0,0.9038461538461539
33.0,166,0.0,7.0,12.0,15.0,-3.0,0.0,1.25
33.0,41,6.0,0.0,26.0,19.0,7.0,5.0,0.7307692307692307
33.0,42,0.0,0.0,12.0,8.0,4.0,9.0,0.6666666666666666
33.0,43,0.0,0.0,16.0,20.0,-4.0,7.0,1.25
33.0,170,9.0,12.0,123.0,114.0,9.0,0.0,0.926829268292683
33.0,45,2.0,1.0,4.0,2.0,2.0,0.0,0.5
33.0,48,15.0,16.0,94.0,79.0,15.0,0.0,0.8404255319148937
33.0,50,4.0,0.0,35.0,33.0,2.0,1.0,0.9428571428571428
33.0,186,0.0,3.0,161.0,161.0,0.0,0.0,1.0
33.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,68,4.0,13.0,47.0,46.0,1.0,0.0,0.9787234042553191
33.0,74,1.0,0.0,15.0,17.0,-2.0,3.0,1.1333333333333333
33.0,75,14.0,0.0,49.0,37.0,12.0,18.0,0.7551020408163265
33.0,79,11.0,3.0,65.0,64.0,1.0,7.0,0.9846153846153847
33.0,209,1.0,0.0,1.0,0.0,1.0,1.0,0.0
33.0,211,2.0,0.0,9.0,7.0,2.0,0.0,0.7777777777777778
33.0,87,7.0,0.0,23.0,12.0,11.0,10.0,0.5217391304347826
33.0,88,2.0,0.0,10.0,6.0,4.0,7.0,0.6
33.0,90,3.0,0.0,36.0,33.0,3.0,0.0,0.9166666666666666
33.0,224,2.0,3.0,14.0,15.0,-1.0,3.0,1.0714285714285714
33.0,100,0.0,1.0,103.0,103.0,0.0,0.0,1.0
33.0,229,29.0,0.0,90.0,69.0,21.0,1.0,0.7666666666666667
33.0,230,9.0,8.0,49.0,40.0,9.0,0.0,0.8163265306122449
33.0,231,7.0,0.0,36.0,29.0,7.0,9.0,0.8055555555555556
33.0,232,1.0,0.0,3.0,0.0,3.0,3.0,0.0
33.0,233,5.0,0.0,69.0,64.0,5.0,0.0,0.927536231884058
33.0,234,1.0,0.0,55.0,61.0,-6.0,0.0,1.1090909090909091
33.0,107,14.0,2.0,89.0,75.0,14.0,0.0,0.8426966292134831
33.0,236,75.0,0.0,176.0,127.0,49.0,14.0,0.7215909090909091
33.0,237,45.0,0.0,123.0,101.0,22.0,0.0,0.8211382113821138
33.0,238,35.0,0.0,88.0,52.0,36.0,23.0,0.5909090909090909
33.0,239,25.0,0.0,88.0,79.0,9.0,0.0,0.8977272727272727
33.0,113,8.0,0.0,49.0,41.0,8.0,6.0,0.8367346938775511
33.0,114,2.0,0.0,17.0,3.0,14.0,15.0,0.17647058823529413
